S.NO.,PROJECT,DESCRIPTION,PART CODE,SERIAL,OPENING STOCK,ISSUED,RECD.,CLOSING STOCK,TEST BENCH,ALMIRA NO,ZONE,BIN,PICTURE,TYPE,LOCATION,COMMON PROJECTS,VENDOR,VENDOR ADDRESS,OLD DESCRIPTION,OLD PARTCODE,REMARKS,Unnamed: 22,Unnamed: 23,Unnamed: 24
561,FSM REL3,FBBC POWER CABLE,086386A.102 2,,0,0,0,0,FBBC TEST BENCH,M05,00C,SHELF 3,FBBC POWER CABLE,CABLE,M05-00C-SHELF 3,,,,FBBC POWER CABLE,086386A.102 2,,,,
562,FSM REL3,FSM3 HDMI ADAPTION CABLE,00072747,,4,0,0,4,FCTB TEST BENCH,M05,00B,SHELF 4,HDMI CABLE FOR FSMF,CABLE,M05-00B-SHELF 1,,NOKIA FINLAND,FINLAND,FSM3 HDMI ADAPTION CABLE,00072747,,,,
563,FSM REL3,CDTA TEST ADAPTER EA042186,00064801 00 S-SCI ,,15,0,0,15,FCTB TEST BENCH,M05,00B,SHELF 1,CTDA,CARD,M05-00B-SHELF 1,AIRSCALE SM/ FSM REL3,NOKIA FINLAND,FINLAND,CDTA TEST ADAPTER ,00064801 00 S-SCI ,,,,
564,FSM REL3,SSD PROGRAMMER,E114825,,0,0,0,0,SSD PROGRAMMER,M05,00B,SHELF 4,SSD PROGRAMMER,CARD,M05-00B-SHELF 4,,,,SSD PROGRAMMER,E114825,,,,
565,FSM REL3,FDSW1.0 RP COR,FDSW1405 317  00,,2,0,0,2,SSD PROGRAMMER,M05,00B,BOX 9,FDSW1.0 RP COR,CARD,M05-00B-BOX 9,,,,FDSW1.0 RP COR,FDSW1405 317  00,,,,
566,FSM REL3,EL531K94V-0,00065154,,1,0,0,1,SSD PROGRAMMER,M05,00B,BOX 9,EL531K94V-0,CARD,M05-00B-BOX 9,,,,EL531K94V-0,00065154,,,,
567,FSM REL3,FPFD,472301A.204,E4155100228,1,0,0,1,LBTS TEST BENCH,M05,00B,SHELF 5,FPFD,UNIT,M05-00B-SHELF 5,,,,FPFD,472301A.204,,,,
568,FSM REL3,FSEB,471424A.306,F7160300816,3,0,0,3,,M05,00B,SHELF 4,FSEB,UNIT,M05-00B-SHELF 4,,,,FSEB,471424A.306,,,,
569,FSM REL3,FCTB GOLDEN BOARD,085422A.104,L1160506195,1,0,0,1,FCTB TEST BENCH,M05,00B,SHELF 4,FCTB CARD,CARD,M05-00B-SHELF 1,,,,FCTB GOLDEN BOARD,085422A.104,,,,
570,FSM REL3,GPS INTERCONNECT CABLE,585421A,,0,0,0,0,LBTS TEST BENCH,M05,00B,SHELF 4,GPS INTERCONNECT CABLE,CABLE,M05-00B-SHELF 4,,,,GPS INTERCONNECT CABLE,585421A,,,,
571,FSM REL3,POLYPHASER 121-92932-00-2,GT-NFF-AL,DL2015000032984,1,0,0,1,LBTS TEST BENCH,M05,00B,BOX 9,LIGHTNING ARRESTOR,CONNECTOR,M05-00B-BOX 9,,,,POLYPHASER,GT-NFF-AL,,,,
572,FSM REL3,MALE TNC TO FEMALE N 1 EACH ADPATER,121-92932-00-2,,1,0,0,1,LBTS TEST BENCH,M05,00B,BOX 9,ADPATER,ADAPTER,M05-00B-BOX 9,,,,MALE TNC TO FEMALE N 1 EACH ADPATER,121-92932-00-2,,,,
573,FSM REL3,SHRINK TUBING (2X),128-00052-000,,1,0,0,1,LBTS TEST BENCH,M05,00B,BOX 9,SHRINK TUBING (2X),TUBE,M05-00B-BOX 9,,,,SHRINK TUBING (2X),128-00052-000,,,,
574,FSM REL3,SSD PROGRAMMER INTERFACE,00065153_00,,2,0,0,2,SSD PROGRAMMER ,M05,00B,SHELF 5,SSD PROGRAMMER INTERFACE,CARD,M05-00B-SHELF 5,,,,SSD PROGRAMMER INTERFACE,00065153_00,,,,
575,FSM REL3,FBBA GOLDEN BOARD,472182A.103,,1,0,0,1,FBBA TEST BENCH,M05,00B,SHELF 5,GOLDEN BOARD,UNIT,M05-00B-SHELF 5,,,,FBBA GOLDEN BOARD,472182A.103,,,,
576,FSM REL3,FBBC GOLDEN BOARD,472797A.101,,1,0,0,1,FBBC TEST BENCH,M05,00B,SHELF 5,GOLDEN BOARD,UNIT,M05-00B-SHELF 5,,,,FBBC GOLDEN BOARD,472797A.101,,,,
577,FSM REL3,FCTB BENCH PART (1),34907A,,2,0,0,2,FCTB TEST BENCH,M05,00B,SHELF 5,FIXTER KIT,KIT,M05-00B-SHELF 5,,,,FCTB BENCH PART (1),34907A,,,,
578,FSM REL3,EVZM450-F01-34B,EVMQ17E,,1,0,0,1,FCTB TEST BENCH,M05,00B,SHELF 5,VALVE,VALVE,M05-00B-SHELF 5,,,,EVZM450-F01-34B,EVMQ17E,,,,
579,FSM REL3,SOFT STAET-UP VALVE NEWMATIC RELAY,AV-2000-F02-5DZ-Q,,1,0,0,1,FCTB TEST BENCH,M05,00B,BOX 9,VALVE,VALVE,M05-00B-BOX 9,,,,SOFT STAET-UP VALVE NEWMATIC RELAY,AV-2000-F02-FDZ-Q,,,,
580,FSM REL3,FCTB BENCH PART (2) RELAY (5),SYJ3243-SLOU-Q,,11,0,0,11,FCTB TEST BENCH,M05,00B,BOX 9,RELAY,RELAY,M05-00B-BOX 9,,EC0-REL COMPUTER SYSTEMS P LTD,DELHI,FCTB BENCH PART (2) RELAY (5),SYJ3243-SLOU-Q,,,,
581,FSM REL3,QSFP INTERNAL CABLE,10123122001LF,REV.A,2,0,0,2,FSMF TEST BENCH,M05,00B,SHELF 1,QSFP LONG CABLE,CABLE,M05-00B-SHELF 1,,,,QSFP INTERNAL CABLE,10123122001LF,,,,
582,FSM REL3,FSMF TEST BENCH PART ,00077970,EL 1609K ,2,0,0,2,FSMF TEST BENCH,M05,00B,BOX 9,CARD,CARD,M05-00B-BOX 9,,,,FSMF TEST BENCH PART ,00077970,,,,
583,FSM REL3,SFX-PCI SCO-01 (X) 0/1/2  -GOPEL,PCI-02407,,1,0,0,1,,M05,00B,SHELF 5,,KIT,M05-00B-SHELF 4,,,,SFX-PCI SCO-01 (X) 0/1/2  -GOPEL,PCI-02407,,,,
584,FSM REL3,SFX-TAP2 STT000 GOPEL,TAP2-01953,,1,0,0,1,,M05,00B,SHELF 5,,KIT,M05-00B-SHELF 4,,,,SFX-TAP2 STT000 GOPEL,TAP2-01953,,,,
585,FSM REL3,GAS SPRING,G06 15 0040 1 0179 WG22,WG22 250N,7,0,0,7,,M05,00B,BOX 9,,GAS SPRING,M05-00B-BOX 9,,,,GAS SPRING,G06 15 0040 1 0179 WG22,,,,
586,FSM REL3,LOCKING BOLT WITHOUT COLLAR,M10.K0344.2105/45.105 H/ 1028977,,9,0,0,9,,M05,00B,BOX 9,,VALVE,M05-00B-BOX 9,,,,LOCKING BOLT WITHOUT COLLAR,M10.K0344.2105/45.105 H/ 1028977,,,,
587,FSM REL3,FBBC ADAPTER PINS,NA 14,,26,0,0,26,FBBC ADAPTER PINS,M05,00B,BOX 9,FBBC ADAPTER PINS,PIN,M05-00B-BOX 9,,ORBIS SYSTEM,INDIA,FBBC ADAPTER PINS,NA 14,,,,
588,FSM REL3,FSMF HWS SPARE PART 3 1,GKS-100 204 106 A 1500,20 KPL O,29,0,0,29,FSPD TEST BENCH,M05,00B,BOX 9,CASE 2136 FSMF HWS PINS,PIN,M05-00B-BOX 9,,,,FSMF HWS SPARE PART 3 1,GKS-100 204 106 A 1500,,,,
589,AIRSCALE SM,AOMC SFP28 70M MM I-TEMP RS,474900A.101,,16,0,0,16,,M02,00C,SHELF 1,PICTURE,SFP,M02-00C-SHELF 2,,NOKIA FINLAND,FINLAND,AOMC SFP28 70M MM I-TEMP RS,474900A.101,,,,
590,AIRSCALE SM,FIBER CATCH CABLE 0.3M,OM4 50/125,,24,0,0,24,,M02,00C,BOX 8,PICTURE,CABLE,M02-00C-BOX 5,,ORBIS SYSTEM,INDIA,FIBER CATCH CABLE 0.3M,OM4 50/125,,,,
591,AIRSCALE SM,"LOOPBACK,LC/PC MM62.5/125 0.9MM",404-500052-00,,2,0,0,2,,M02,00C,BOX 6,PICTURE,PLUG,M02-00C-BOX 6,,,,"LOOPBACK,LC/PC MM62.5/125 0.9MM",404-500052-00,,,,
592,AIRSCALE SM,INGUN HDMI PLUG ADAPTER BOARD,SF73080,,0,0,0,0,,M02,00C,BOX 6,PICTURE,CARD,M02-00C-BOX 6,,SIFO,CHINA,INGUN HDMI PLUG ADAPTER BOARD,SF73080,,,,
593,AIRSCALE SM,FAN PORT ADAPTER BOARD ,BWS000023,,2,0,0,2,,M02,00C,BOX 5,PICTURE,CARD,M02-00C-BOX 5,,,,FAN PORT ADAPTER BOARD ,BWS000023,,,,
594,AIRSCALE SM,RASPBERRY PIC DRIVER BOARD ,SF72110D,,2,0,0,2,,M02,00C,BOX 5,PICTURE,CARD,M02-00C-BOX 5,,,,RASPBERRY PIC DRIVER BOARD ,SF72110D,,,,
595,AIRSCALE SM,AHTB ADAPTER BOARD,SF67270C,,2,0,0,2,,M02,00C,BOX 5,PICTURE,CARD,M02-00C-BOX 5,,,,AHTB ADAPTER BOARD,SF67270C,,,,
596,AIRSCALE SM,GKS 100 291 090 10 A 1000,KS-075 44G,,4,0,0,4,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,,,GKS 100 291 090 10 A 1000,KS-075 44G,,,,
597,AIRSCALE SM,PROBE GKS 100 291 090 10 A 2000 ,GKS 100 291,,19,0,0,19,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,,,GKS 100 291 090 10 A 2000 ,GKS 100 291,,,,
598,AIRSCALE SM,GKS 075 291 064 A 1000,GKS 075 0012,,5,0,0,5,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,,,GKS 075 291 064 A 1000,GKS 075 0012,,,,
599,AIRSCALE SM,PIN,156-5DH2505,,4,0,0,4,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,PIN,156-5DH2505,,,,
600,AIRSCALE SM,PIN KS-113 23,KS-113 23,,11,0,0,11,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,PIN KS-113 23,KS-113 23,,,,
601,AIRSCALE SM,PIN KS-075 47 G 10,KS-075 47 G 10,,2,0,0,2,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,PIN KS-075 47 G 10,KS-075 47 G 10,,,,
602,AIRSCALE SM,PIN GKS-075 291 064 A 2000,GKS-075 291 064 A 2000,,0,0,0,0,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,PIN GKS-075 291 064 A 2000,GKS-075 291 064 A 2000,,,,
603,AIRSCALE SM,ASOE GROUND TEST PINS (2),IGUN 100 2N/7.2 OZ,,2,0,0,2,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,ASOE GROUND TEST PINS (2),IGUN 100 2N/7.2 OZ,,,,
604,AIRSCALE SM,ASOE GROUND TEST PINS (3),BTTECH 1N ,,4,0,0,4,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,ASOE GROUND TEST PINS (3),BTTECH 1N ,,,,
605,AIRSCALE SM,RJ45 LOOPBACK,F17-50000191-EF13,,0,0,0,0,,M02,00C,BOX 6,PICTURE,CABLE,M02-00C-BOX 6,,,,RJ45,F17-50000191-EF13,,,,
606,AIRSCALE SM,THERMAL PAD,111-00005059,,2,0,0,2,,M02,00C,BOX 6,PICTURE,PAD,M02-00C-BOX 6,,,,THERMAL PAD,111-00005059,,,,
607,AIRSCALE SM,MAIN 'CONTROL ADAPTER,092155A.X21/AY214876430,,1,0,0,1,,M02,00C,BOX 5,PICTURE,CARD,M02-00C-BOX 5,,,,092155A.X21 AY214876430,092155A.X21/AY214876430,,,,
608,AIRSCALE SM,2 RELAY MODULE,2 RELAY MODULE,,1,0,0,1,,M02,00C,BOX 6,PICTURE,RELAY,M02-00C-BOX 6,,,,2 RELAY MODULE,2 RELAY MODULE,,,,
609,AIRSCALE SM,H23-40000078,H23-40000078,,1,0,0,1,,M02,00C,BOX 6,PICTURE,CONNECTOR,M02-00C-BOX 6,,,,H23-40000078,H23-40000078,,,,
610,AIRSCALE SM,HDMI WITH ETHERNET,995299B,,0,0,0,0,,M02,00C,BOX 8,PICTURE,CABLE,M02-00C-BOX 8,,ORBIS SYSTEM,INDIA,HDMI WITH ETHERNET,995299B,,,,
611,AIRSCALE SM,USB TO USB C TYPE CABLE,996641,,6,0,0,6,,M02,00C,BOX 8,PICTURE,CABLE,M02-00C-BOX 8,,EC0-REL COMPUTER SYSTEMS P LTD,DELHI,C TYPE CABLE,996641,,,,
612,AIRSCALE SM,GROUND TEST BENCH SCREW,GROUND TEST BENCH SCREW,,8,0,0,8,,M02,00C,BOX 6,PICTURE,SCREW,M02-00C-BOX 6,,,,GROUND TEST BENCH SCREW,SCREW,,,,
613,AIRSCALE SM,PORT CABLE,109-500250-00,,0,0,0,0,,M02,00C,BOX 5,PICTURE,CABLE,M02-00C-BOX 5,,,,PORT CABLE,109-500250-00,,,,
614,AIRSCALE SM,GROUND TEST CABLE,GROUND TEST CABLE,,1,0,0,1,,M02,00C,SHELF 3,PICTURE,CABLE,M02-00C-SHELF 3,,,,GROUND TEST CABLE,GROUND TEST CABLE,,,,
615,AIRSCALE SM,PIN KS-113 30,KS-113 30 (1),,3,0,0,3,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,PIN KS-113 30,KS-113 30 (1),,,,
616,AIRSCALE SM,PIN HSS-120 306 300 A 1502,HSS-120 306 300 A 1502,,16,0,0,16,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,PIN HSS-120 306 300 A 1502,HSS-120 306 300 A 1502,,,,
617,AIRSCALE SM,ASOE GROUND TEST PINS (1),ASOE GROUND TEST PINS,,2,0,0,2,,M02,00C,BOX 6,PICTURE,PIN,M02-00C-BOX 6,,ORBIS SYSTEM,INDIA,ASOE GROUND TEST PINS (1),ASOE GROUND TEST PINS,,,,
618,AIRSCALE SM,SOLID STATE RELAY 60 VDC CRYDOM ALL LBTS TESTERS,D06D100,,1,0,0,1,,M02,00B,SHELF 3,PICTURE,RELAY,M02-00C-BOX 5,,EC0-REL COMPUTER SYSTEMS P LTD,DELHI,SOLID STATE RELAY 60 VDC CRYDOM,D06D100,,,,
619,AIRSCALE SM,ABIO SFP CABLE,ABIO SFP CABLE,,1,0,0,1,,M02,00C,BOX 8,PICTURE,CABLE,M02-00C-BOX 8,,,,ABIO SFP CABLE,ABIO SFP CABLE,,,,
620,AIRSCALE SM,SFP- ASIA,475339A.101,,13,0,0,13,,M02,00C,BOX 5,PICTURE,SFP,M02-00C-BOX 5,,NOKIA FINLAND,FINLAND,SFP,475339A.101,,,,
621,AIRSCALE SM,POWER CABLE,C10-743591-Z2S,,1,0,0,1,,M02,00C,SHELF 5,PICTURE,CABLE,M02-00C-SHELF 3,,,,POWER CABLE,C10-743591-Z2S,,,,
622,AIRSCALE SM,DC FEED CABLE,00079306_00,,1,0,0,1,,M02,00C,SHELF 3,PICTURE,CABLE,M02-00C-SHELF 3,,,,DC FEED CABLE,00079306_00,,,,
623,AIRSCALE SM,AYCC GNSS CABLE COAXIAL N-N 50M,475958A.101,,1,0,0,1,,M02,00C,SHELF 5,PICTURE,CABLE,M02-00C-SHELF 4,,,,AYCC GNSS CABLE COAXIAL N-N 50M,475958A.101,,,,
624,AIRSCALE SM,LBTS POWER CONNECTOR,LBTS POWER CONNECTOR,,0,0,0,0,,M02,00C,SHELF 4,PICTURE,CABLE,M02-00C-SHELF 4,,,,POWER QUICK ADAPTER ,POWER QUICK ADAPTER ,,,,
625,AIRSCALE SM, ASIA 19 PIN TEST ADAPTER ASSEMBLY EA020704 0005523-01,00085523-01,,8,0,0,8,,M02,00D,SHELF 3,PICTURE,CARD,M02-00C-BOX 4,,NOKIA FINLAND,FINLAND,HDM TEST ADAPTER,0005523-01,,,,
626,AIRSCALE SM,PRODUCTION TEST ADAPTER FOR FCTJ,00084114-02,,16,0,0,16,,M02,00C,SHELF 4,PICTURE,CARD,M02-00C-SHELF 4,,NOKIA FINLAND,FINLAND,PRODUCTION TEST ADAPTER FOR FCTJ,00084114-02,,,,
627,AIRSCALE SM,FCTJ LED SENSOR ADAPTER ASSEMBLY EA043499,00085742_00,,8,0,0,8,,M02,00C,SHELF 1,PICTURE,CARD,M02-00C-BOX 4,,NOKIA FINLAND,FINLAND,FCTJ LED SENSOR,00085742_00,,,,
628,AIRSCALE SM,MOLEX SFP CO021551,74765-0906,,21,0,0,21,,M02,00C,BOX 4,PICTURE,SFP,M02-00C-BOX 4,,NOKIA FINLAND,INDIA,MOLEX SFP,74765-0906,,,,
629,AIRSCALE SM,ETHERNET LAN LOOPBACK,ETHERNET LOOPBACK,,0,0,0,0,,M02,00C,BOX 4,PICTURE,PLUG,M02-00C-BOX 4,,,,ETHERNET LAN LOOPBACK,ETHERNET LOOPBACK,,,,
630,AIRSCALE SM,SFP 10139359-001LF REV.A MINISAS CONNECTOR,10139359-001LF,,13,0,0,13,,M02,00C,BOX 4,PICTURE,SFP,M02-00C-BOX 4,,NOKIA FINLAND,FINLAND,SFP 10139359-001LF REV.A,10139359-001LF,,,,
631,AIRSCALE SM,U/UTP MODULAR PATCH CORD,CPCSSZ2-03F007,360GS10E-L-DG-7FT,1,0,0,1,,M02,00C,BOX 2,PICTURE,CABLE,M02-00C-BOX 2,,,,U/UTP MODULAR PATCH CORD,CPCSSZ2-03F007,,,,
632,GALAXY,THREMAL-A-GAP SHEET STOCK,6120-0909-G579,55538,2,0,0,2,,M04,00A,BOX 2,PICTURE,PAD,M04-00A-BOX 2,,,,THREM-A-GAP SHEET STOCK,6120-0909-G579,,,,
633,GALAXY,NRP8S PATH DIODE POWER SENSER ,"100PW-200MW,10 MHZ-8GHZ (113478)",57580,1,0,0,1,,M03,00D,SHELF 1,PICTURE,SENSOR,M03-00D-SHELF 1,FRM 3.2/ VEGAS/ AMBER/ GALVATRON/ AIRSCALE SM/ COMPASS/ MEDUSA/ KYLIN/ FLEXY RRH/ QUASAR/ FSM REL3/GALAXY,ORBIS SYSTEM,INDIA,NRP8S PATH DIODE POWER SENSER ,"100PW-200MW,10 MHZ-8GHZ (113478)",,,,
634,GALAXY,AARDVARK I2C/SPI HOST ADAPTER CO042782-000,TP240141,54528,26,0,0,26,,M04,00A,BOX 5,PICTURE,INTERFACE,M04-00A-BOX 5,MEDUSA/ GALAXY/ AIRSCALE SM2,NOKIA FINLAND,FINLAND,AARDVARK I2C/SPI HOST ADAPTER,TP240141,,,,
635,GALAXY,GALAXY PA IF PWB ,ORBIS 57410-10,57410-10,6,0,0,6,,M04,00A,BOX 6,PICTURE,CARD,M04-00A-BOX 6,,,,GALAXY PA IF PWB ,ORBIS 57410-10,,,,
636,GALAXY,LMI MDR26 VI.0,ORBIS 54648-01,54648-01,17,0,0,17,,M04,00A,BOX 6,PICTURE,CARD,M04-00A-BOX 6,,ORBIS SYSTEM,INDIA,LMI MDR26 VI.0,ORBIS 54648-01,,,,
637,GALAXY,RELAY POWER DPDT 24V/8A,51013,51013,12,0,0,12,,M04,00A,BOX 1,PICTURE,RELAY POWER,M04-00A-BOX 1,,,,RELAY POWER DPDT 24V/8A,51013,,,,
638,GALAXY,ATTENUATOR 51386,5DB 2W DC 6GHZ,51386,6,0,0,6,,M04,00A,BOX 1,PICTURE,CONNECTOR,M04-00A-BOX 1,,EC0-REL COMPUTER SYSTEMS P LTD,DELHI,ATTENUATOR,5DB 2W DC 6GHZ,,,,
639,GALAXY,SWITCH MICRO SPDT WLEVER 5A,53351,53351,6,0,0,6,,M04,00A,BOX 2,PICTURE,SPDT,M04-00A-BOX 2,,,,SWITCH MICRO SPDT WLEVER 5A,53351,,,,
640,GALAXY,DC-DC CONVERT 20W DIN 24V OUT,10024,10024,1,0,0,1,,M03,00D,SHELF 2,PICTURE,DC,M03-00D-SHELF 3,GALAXY/ KYLIN/ FLEXI RRH,,,DC-DC CONVERT 20W DIN 24V OUT,10024,,,,
641,GALAXY,CONN ADAPTER NF NF 57244,PE9006 2152,57244,5,0,0,5,,M04,00A,BOX 1,PICTURE,ADAPTER,M04-00A-BOX 1,,,,CONN ADAPTER NF NF,PE9006 2152,,,,
642,GALAXY,CONN ADAPTER SMAF SMAF,51694,51694,7,0,0,7,,M04,00A,BOX 2,PICTURE,ADAPTER,M04-00A-BOX 2,,,,CONN ADAPTER SMAF SMAF,51694,,,,
643,GALAXY,PROBE HIGH CONNECTOR,54984,54984,13,0,0,13,,M04,00A,BOX 1,PICTURE,CONNECTOR,M04-00A-BOX 1,,ORBIS SYSTEM,INDIA,PROBE HIGH CONNECTOR,54984,,,,
644,GALAXY,TORQUE WRENCH FOR SMA,63157,63157,1,0,0,1,,M04,00A,BOX 1,PICTURE,WRENCH,M04-00A-BOX 1,,,,TORQUE WRENCH FOR SMA,63157,,,,
645,GALAXY,ADAPTER RF SMAF-NF,63022,63022,2,0,0,2,,M04,00A,BOX 1,PICTURE,ADAPTER,M04-00A-BOX 1,,,,ADAPTER RF SMAF-NF,63022,,,,
646,GALAXY,BALL END COLOUR CODED L-KEY,63158,63158,1,0,0,1,,M04,00A,BOX 2,PICTURE,KEY,M04-00A-BOX 2,,,,BALL END COLOUR CODED L-KEY,63158,,,,
647,GALAXY,WAVE SPRING CREST TO CREST WITH SHIMS SMALL,57702,57702,14,0,0,14,,M04,00A,BOX 2,PICTURE,SPRING,M04-00A-BOX 2,,,,WAVE SPRING CREST TO CREST WITH SHIMS SMALL,57702,,,,
648,GALAXY,SPRING WAVE 10X7X5.28MM BIG,10039,10039,10,0,0,10,,M04,00A,BOX 2,PICTURE,SPRING,M04-00A-BOX 2,,,,SPRING WAVE 10X7X5.28MM BIG,10039,,,,
649,GALAXY,PROBE ADAPTER SMAM-SMAM STRAIGHT 55598,33 SMA 50 0 51/199 NE,55598,2,0,0,2,,M04,00A,BOX 1,PICTURE,ADAPTER,M04-00A-BOX 1,,,,PROBE ADAPTER SMAM-SMAM STRAIGHT ,33 SMA 50 0 51/199 NE,,,,
650,GALAXY,TERMINATION 50OHM 18GHZ 2W SMAM ,56159,56159,10,0,0,10,,M04,00A,BOX 2,PICTURE,ADAPTER,M04-00A-BOX 2,,ORBIS SYSTEM,INDIA,TERMINATION 50OHM 18GHZ 2W SMAM ,56159,,,,
651,GALAXY,CABLE WRENCH E-Z SMA 4 INCH,63105,63105,2,0,0,2,,M04,00A,BOX 1,PICTURE,WRENCH,M04-00A-BOX 1,,,,CABLE WRENCH E-Z SMA 4 INCH,63105,,,,
652,GALAXY,ADAPTER RF PSMP -SMAF 55596,119K732-K0BS5,55596,17,0,0,17,,M04,00A,BOX 3,PICTURE,ADAPTER,M04-00A-BOX 3,,,,ADAPTER RF PSMP -SMAF,119K732-K0BS5,,,,
653,GALAXY,ASSY PCB TRX MAIN GALAXY REV B ,57411-01,57411-01,1,0,0,1,,M04,00A,BOX 2,PICTURE,CARD,M04-00A-BOX 2,,,,ASSY PCB TRX MAIN GALAXY REV B ,57411-01,,,,
654,GALAXY,LINEAR GUIDE 13MM X 45MM ,57662,57662,1,0,0,1,,M04,00A,BOX 1,PICTURE,GUIDE,M04-00A-BOX 1,,,,LINEAR GUIDE 13MM X 45MM ,57662,,,,
655,GALAXY,LINEAR GUIDE 13MM X 95MM ,57677,57677,1,0,0,1,,M04,00A,BOX 3,PICTURE,GUIDE,M04-00A-BOX 3,,,,LINEAR GUIDE 13MM X 95MM ,57677,,,,
656,GALAXY,FAN AXIAL 40X40X25MM 24VDC,57679,57679,7,0,0,7,,M04,00A,BOX 3,PICTURE,FAN,M04-00A-BOX 3,,,,FAN AXIAL 40X40X25MM 24VDC,57679,,,,
657,GALAXY,RELAY DPPT 24V/40/A,10022,10022,2,0,0,2,,M04,00A,BOX 3,PICTURE,RELAY ,M04-00A-BOX 3,,,,RELAY DPPT 24V/40/A,10022,,,,
658,GALAXY,RF SWITCH R570423000,51399,51399,7,0,0,7,,M04,00A,BOX 4,PICTURE,SWITCH,M04-00A-BOX 4,,,,RF SWITCH R570423000,51399,,,,
659,GALAXY,"SPRING, GAS 250N, L259MM, S80MM 55645",B3B3F-46-090-251/250N,55645,4,0,0,4,,M04,00A,BOX 3,PICTURE,GAS SPRING,M04-00A-BOX 3,,ORBIS SYSTEM,USA,"SPRING, GAS 250N, L259MM, S80MM",B3B3F-46-090-251/250N,,,,
660,GALAXY,SPRING GS 250N L179MM S40MM M5 BALL STUD SOCKET,55643,55643,2,0,0,2,,M04,00A,BOX 3,PICTURE,GAS SPRING,M04-00A-BOX 3,,,,SPRING GS 250N L179MM S40MM M5 BALL STUD SOCKET,55643,,,,
661,GALAXY,SPRING GS 400N L179MM S40MMM5 BALL STUD,10064,10064,4,0,0,4,,M04,00A,BOX 3,PICTURE,GAS SPRING,M04-00A-BOX 3,,,,SPRING GS 400N L179MM S40MMM5 BALL STUD,10064,,,,
662,GALAXY,"RADIALL RF SWITCH, TRANSFER, DPDT- R577413002 53090",R.22.C1012193,53090,3,0,0,3,,M04,00A,BOX 1,PICTURE,SWITCH,M04-00A-BOX 1,,ORBIS SYSTEM,USA,"RADIALL RF SWITCH, TRANSFER, DPDT- R577413002",R.22.C1012193,,,,
663,GALAXY,CABLE HDMI w/ETHERNET 10 FT ,10026,10026,1,0,0,1,,M04,00A,SHELF 5,PICTURE,CABLE,M04-00A-SHELF 5,,,,CABLE HDMI w/ETHERNET 10 FT ,10026,,,,
664,GALAXY,SFP CABLE PASSIVE 3M,OPSFPP-T-03-PAB ,10047,8,0,0,8,,M04,00A,SHELF 5,PICTURE,CABLE,M04-00A-SHELF 5,,ORBIS SYSTEM,INDIA,SFP CABLE PASSIVE 3M,OPSFPP-T-03-PAB ,,,,
665,GALAXY,CABLE RF SMAM SMAM 2134MM EF400,57043,57043,4,0,0,4,,M04,00A,SHELF 5,PICTURE,CABLE,M04-00A-SHELF 5,,,,CABLE RF SMAM SMAM 2134MM EF400,57043,,,,
666,GALAXY,USB POWER CABLE 3.00M NRPZKU ,CYM12FS8AS-CUA2S40-300KFX,57081,2,0,0,2,,M04,00A,SHELF 5,PICTURE,CABLE,M04-00B-SHELF 5,,,,USB POWER CABLE 3.00M NRPZKU ,CYM12FS8AS-CUA2S40-300KFX,,,,
667,GALAXY,RF CABLE NON ARMRMORED DC 18GHZ NM NM 3M ,J12J103213-00,70182,1,0,0,1,,M04,00A,SHELF 5,PICTURE,CABLE,M04-00A-SHELF 5,,,,RF CABLE NON ARMRMORED DC 18GHZ NM NM 3M ,J12J103213-00,,,,
668,GALAXY,CABLE RF SMAM SMAM 610MM EF316D,54982,54982,20,0,0,20,,M04,00A,SHELF 5,PICTURE,CABLE,M04-00A-SHELF 5,,ORBIS SYSTEM,INDIA,CABLE RF SMAM SMAM 610MM EF316D,54982,,,,
669,GALAXY,INSULATION THERM COND 144 SQINCH THERMAL PAD,54145,54145,1,0,0,1,,M04,00A,SHELF 3,PICTURE,PAD,M04-00A-SHELF 3,,,,INSULATION THERM COND 144 SQINCH,54145,,,,
670,GALAXY,"CABLE, DUT PWR, 2 POLE, WEAROUT",55111-01,,0,0,0,0,,M04,00A,BOX 5,PICTURE,CABLE,M04-00A-BOX 5,,ORBIS SYSTEM,USA,"CABLE, DUT PWR, 2 POLE, WEAROUT",55111-01,,,,
